Subject	SelectionOrderAtt	ImId	correctVariant(s)	FixationFrequencyPerChoiceInterval	FixationStart	TimeToFirstSelectionAtt
01-128-P OBI	0	2	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	3	incorrect	"5,-1,"	"980.767,981.667,982.2,983.967,984.9,"	-1
01-128-P OBI	0	4	incorrect	"2,-1,"	"986.6,986.767,"	-1
01-128-P OBI	1	5	correct	"5,-1,"	"990.333,991.933,992.433,993.333,993.533,"	15.8667
01-128-P OBI	0	6	incorrect	"3,-1,"	"985.267,994.333,994.6,"	-1
01-128-P OBI	0	7	incorrect	"2,-1,"	"987.5,988.833,"	-1
01-128-P OBI	0	1	MasterImage	"17,-1,"	"998.133,998.333,998.533,998.767,999.533,999.7,1001.43,1002.77,1003.73,1003.97,1005.13,1006.23,1008.3,1009.33,1009.8,1010.7,1011.9,"	-1
01-128-P OBI	1	2	correct	"4,-1,"	"1012.2,1012.9,1013.17,1014,"	18.3
01-128-P OBI	0	3	incorrect	"4,-1,"	"999,999.267,1000.1,1007.07,"	-1
01-128-P OBI	0	4	incorrect	"10,-1,"	"1000.53,1001.1,1002.17,1002.57,1004.53,1004.93,1005.67,1006.03,1006.67,1006.83,"	-1
01-128-P OBI	0	5	incorrect	"3,2,"	"1011.13,1011.3,1014.47,1016.53,1016.7,"	-1
01-128-P OBI	0	6	incorrect	"6,-1,"	"997.667,997.967,1007.37,1007.73,1008.87,1010.07,"	-1
01-128-P OBI	0	7	incorrect	"2,-1,"	"1003.23,1004.27,"	-1
01-128-P OBI	0	1	MasterImage	"13,5,2,1,"	"1017.37,1018.67,1019.57,1020.03,1020.67,1022.47,1024.87,1025.13,1027.23,1027.53,1028.2,1030.97,1031.87,1036.23,1036.5,1037.77,1041.93,1042.17,1047.6,1048.83,1056,"	-1
01-128-P OBI	0	2	incorrect	"1,1,2,-1,"	"1023.83,1043.3,1046.73,1046.9,"	-1
01-128-P OBI	1	3	incorrect	"16,3,-1,-1,"	"1017.17,1018.1,1019.13,1020.27,1021.47,1022,1022.17,1023.33,1025.37,1026.47,1027.8,1028.9,1029.1,1030.77,1032.7,1033.4,1037.13,1037.33,1039.37,"	18.2
01-128-P OBI	0	4	incorrect	"2,-1,-1,-1,"	"1029.43,1031.37,"	-1
01-128-P OBI	2	5	incorrect	"1,8,2,-1,"	"1033.67,1035.7,1038.27,1038.73,1040.37,1040.63,1041.13,1042.67,1043.5,1048.1,1049.3,"	-1
01-128-P OBI	3	6	correct	"3,4,6,-1,"	"1016.97,1025.8,1026.9,1039.53,1043.83,1044,1044.17,1046.17,1046.4,1049.7,1050.03,1050.43,1051.97,"	-1
01-128-P OBI	0	7	incorrect	"-1,-1,1,-1,"	"1052.23,"	-1
01-128-P OBI	0	1	MasterImage	"25,-1,"	"1056.53,1056.73,1057.9,1058.6,1058.77,1059.87,1061.47,1062.4,1063.63,1068.87,1071.6,1073.4,1073.87,1074.7,1076.57,1078.77,1081.1,1082.3,1083.77,1084.03,1085.4,1085.9,1087.2,1089.5,1091.77,"	-1
01-128-P OBI	0	2	incorrect	"16,-1,"	"1067.7,1068.07,1069.8,1070.9,1072.2,1075.13,1075.4,1077.43,1079.57,1081.6,1084.5,1086.83,1087.87,1090.57,1090.77,1092.4,"	-1
01-128-P OBI	1	3	correct	"32,1,"	"1056.23,1057.37,1058.2,1059.07,1059.27,1060.43,1060.87,1062,1062.9,1063.2,1064.43,1065.73,1065.97,1067.4,1069.27,1070.4,1071.23,1072.73,1074.17,1074.33,1075.93,1077.2,1078.33,1080.5,1080.67,1083.13,1086.17,1089.93,1090.27,1091.33,1091.53,1093,1095.83,"	39.0333
01-128-P OBI	0	4	incorrect	"1,-1,"	"1061.13,"	-1
01-128-P OBI	0	5	incorrect	"1,-1,"	"1093.73,"	-1
01-128-P OBI	0	6	incorrect	"5,-1,"	"1066.3,1066.67,1066.83,1067.2,1093.57,"	-1
01-128-P OBI	0	7	incorrect	"3,-1,"	"1064.9,1065.1,1065.47,"	-1
01-128-P OBI	0	1	MasterImage	"12,-1,"	"1096.6,1097.47,1097.73,1098.17,1099.3,1100.53,1103.2,1103.37,1105,1105.23,1105.73,1107.07,"	-1
01-128-P OBI	0	2	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	3	incorrect	"6,-1,"	"1096.2,1097.1,1098.47,1099.73,1101.1,1102.53,"	-1
01-128-P OBI	0	4	incorrect	"1,1,"	"1107.6,1110.1,"	-1
01-128-P OBI	0	5	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	6	incorrect	"4,-1,"	"1100.17,1101.47,1102.13,1102.8,"	-1
01-128-P OBI	1	7	correct	"5,1,"	"1104.1,1106.13,1107.37,1107.77,1107.93,1109.87,"	13.2333
01-128-P OBI	0	1	MasterImage	"5,-1,"	"1110.67,1110.93,1114.93,1118.5,1118.67,"	-1
01-128-P OBI	0	2	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	3	incorrect	"1,-1,"	"1117.4,"	-1
01-128-P OBI	1	4	correct	"6,-1,"	"1111.9,1114.17,1114.37,1115.97,1116.17,1121.13,"	14.1333
01-128-P OBI	0	5	incorrect	"3,-1,"	"1121.73,1121.9,1122.33,"	-1
01-128-P OBI	0	6	incorrect	"5,-1,"	"1117.6,1119.23,1119.4,1119.77,1122.6,"	-1
01-128-P OBI	0	7	incorrect	"1,-1,"	"1116.93,"	-1
01-128-P OBI	0	1	MasterImage	"7,8,-1,"	"1126.07,1127.03,1128.07,1129.2,1130.13,1132.77,1132.97,1136.77,1137.13,1137.47,1138.1,1138.27,1138.5,1139.6,1141.13,"	-1
01-128-P OBI	0	2	incorrect	"-1,-1,-1,"	-1	-1
01-128-P OBI	0	3	incorrect	"3,1,-1,"	"1126.77,1127.57,1131.73,1139.23,"	-1
01-128-P OBI	0	4	incorrect	"4,-1,-1,"	"1128.3,1128.63,1129.67,1130.57,"	-1
01-128-P OBI	2	5	correct	"-1,3,-1,"	"1142.1,1142.87,1143.63,"	-1
01-128-P OBI	1	6	incorrect	"5,5,-1,"	"1125.63,1132.13,1132.53,1133.47,1133.93,1137.67,1138.9,1140.7,1141.73,1143.83,"	10.5667
01-128-P OBI	0	7	incorrect	"3,-1,-1,"	"1130.77,1131.37,1134.17,"	-1
01-128-P OBI	0	1	MasterImage	"6,-1,"	"1147,1147.73,1148.73,1150.83,1152.57,1152.8,"	-1
01-128-P OBI	1	2	correct	"4,-1,"	"1154.3,1154.7,1154.87,1155.4,"	10.9334
01-128-P OBI	0	3	incorrect	"4,-1,"	"1146.77,1148.23,1148.47,1149.9,"	-1
01-128-P OBI	0	4	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	5	incorrect	"2,1,"	"1153.33,1155.9,1158.17,"	-1
01-128-P OBI	0	6	incorrect	"3,-1,"	"1146.5,1151.6,1153.03,"	-1
01-128-P OBI	0	7	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	1	MasterImage	"14,-1,"	"1158.93,1159.13,1159.43,1159.87,1160.7,1161.87,1163.33,1163.63,1164.77,1165.7,1168.53,1169.13,1169.37,1170.8,"	-1
01-128-P OBI	0	2	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	3	incorrect	"6,-1,"	"1160.33,1161.33,1162.43,1162.7,1168.83,1169.57,"	-1
01-128-P OBI	0	4	incorrect	"6,-1,"	"1164,1165.17,1166.03,1170,1170.53,1171.53,"	-1
01-128-P OBI	0	5	incorrect	"1,-1,"	"1158.67,"	-1
01-128-P OBI	1	6	correct	"5,-1,"	"1158.37,1168.2,1172.13,1172.5,1173.2,"	17.2
01-128-P OBI	0	7	incorrect	"6,-1,"	"1166.47,1166.8,1167.63,1167.93,1171.87,1173.63,"	-1
01-128-P OBI	0	1	MasterImage	"8,-1,"	"1177.13,1178.33,1179,1180.8,1181.03,1182,1182.23,1184.17,"	-1
01-128-P OBI	0	2	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	3	incorrect	"4,-1,"	"1176.67,1176.93,1177.77,1179.2,"	-1
01-128-P OBI	0	4	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	5	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	6	incorrect	"2,-1,"	"1179.5,1181.47,"	-1
01-128-P OBI	1	7	correct	"5,1,"	"1182.8,1183.3,1185,1185.83,1186.07,1188.37,"	11
01-128-P OBI	0	1	MasterImage	"7,-1,"	"1189.5,1190.9,1192.87,1193.03,1194.67,1196.07,1198,"	-1
01-128-P OBI	0	2	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	3	incorrect	"3,-1,"	"1188.67,1190.3,1191.63,"	-1
01-128-P OBI	1	4	correct	"4,-1,"	"1191.87,1193.67,1195.37,1196.53,"	11.3666
01-128-P OBI	0	5	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	6	incorrect	"1,1,"	"1198.43,1200.47,"	-1
01-128-P OBI	0	7	incorrect	"2,-1,"	"1192.2,1192.37,"	-1
01-128-P OBI	0	1	MasterImage	"11,-1,"	"1201.57,1203.37,1205.73,1207.83,1210.4,1216.17,1218.27,1221.07,1221.23,1221.5,1222.47,"	-1
01-128-P OBI	1	2	correct	"2,-1,"	"1222.13,1223.33,"	26.6666
01-128-P OBI	0	3	incorrect	"12,-1,"	"1201.03,1201.37,1202.37,1204.4,1204.9,1206.77,1207.37,1208.53,1210.03,1211,1217.8,1221.7,"	-1
01-128-P OBI	0	4	incorrect	"1,-1,"	"1209.17,"	-1
01-128-P OBI	0	5	incorrect	"4,-1,"	"1212.97,1217.1,1219.07,1226.03,"	-1
01-128-P OBI	0	6	incorrect	"1,-1,"	"1211.5,"	-1
01-128-P OBI	0	7	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	1	MasterImage	"9,-1,"	"1229.07,1230.77,1230.97,1233.73,1234.9,1236.4,1236.63,1237.93,1239.53,"	-1
01-128-P OBI	0	2	incorrect	"4,-1,"	"1230.4,1232,1234.2,1234.43,"	-1
01-128-P OBI	0	3	incorrect	"4,1,"	"1228.67,1228.83,1229.83,1240.73,1243.6,"	-1
01-128-P OBI	0	4	incorrect	"-1,-1,"	-1	-1
01-128-P OBI	0	5	incorrect	"1,-1,"	"1232.2,"	-1
01-128-P OBI	1	6	correct	"9,-1,"	"1232.57,1233.5,1235.37,1235.73,1237.2,1238.63,1238.8,1239.23,1240.23,"	14.2333
01-128-P OBI	0	7	incorrect	"1,-1,"	"1241.4,"	-1
01-129-P OBI	0	1	MasterImage	"4,-1,"	"874.767,876.9,879.133,879.433,"	-1
01-129-P OBI	0	2	incorrect	"1,-1,"	"877.667,"	-1
01-129-P OBI	0	3	incorrect	"5,-1,"	"874.133,874.4,875.933,876.267,876.633,"	-1
01-129-P OBI	0	4	incorrect	"-1,-1,"	-1	-1
01-129-P OBI	0	5	incorrect	"-1,-1,"	-1	-1
01-129-P OBI	0	6	incorrect	"3,-1,"	"873.767,875.033,878.567,"	-1
01-129-P OBI	1	7	correct	"5,-1,"	"878.833,879.7,880.133,880.333,880.7,"	8.5
01-129-P OBI	0	1	MasterImage	"9,10,-1,"	"884.167,886.067,886.267,887.567,889.433,893.033,893.533,897.8,899.067,903.133,903.367,903.533,904.767,908.133,910.567,914.633,917.5,918.1,919.067,"	-1
01-129-P OBI	0	2	incorrect	"4,3,-1,"	"885.1,886.9,887.133,888.6,906.733,907.5,909.033,"	-1
01-129-P OBI	2	3	correct	"3,6,-1,"	"883.867,886.467,890.033,903.733,909.867,911.5,916.567,918.4,918.9,"	-1
01-129-P OBI	1	4	incorrect	"4,-1,-1,"	"890.4,893.767,898.667,899.5,"	19
01-129-P OBI	0	5	incorrect	"1,1,-1,"	"895.067,919.7,"	-1
01-129-P OBI	0	6	incorrect	"4,1,-1,"	"894.5,896.533,900.033,900.233,919.5,"	-1
01-129-P OBI	0	7	incorrect	"2,-1,-1,"	"894.133,898.3,"	-1
01-129-P OBI	0	1	MasterImage	"10,-1,"	"923.867,926.467,927.867,929.733,930.633,932.333,934.3,937.9,938.967,939.233,"	-1
01-129-P OBI	0	2	incorrect	"1,-1,"	"925.867,"	-1
01-129-P OBI	0	3	incorrect	"6,-1,"	"923.433,923.633,925.333,927.033,928.5,930.4,"	-1
01-129-P OBI	0	4	incorrect	"2,-1,"	"931.033,931.267,"	-1
01-129-P OBI	0	5	incorrect	"1,-1,"	"936.533,"	-1
01-129-P OBI	0	6	incorrect	"1,-1,"	"935.967,"	-1
01-129-P OBI	1	7	correct	"5,-1,"	"932.833,935.367,938.367,939.533,939.867,"	18.7333
01-129-P OBI	0	1	MasterImage	"17,-1,"	"943.1,948.433,948.9,950.1,953.8,955.8,959.7,959.9,960.2,962,964.3,965.733,966.433,968.4,968.6,975,976.333,"	-1
01-129-P OBI	0	2	incorrect	"3,-1,"	"944.733,948,951.167,"	-1
01-129-P OBI	0	3	incorrect	"6,1,"	"942.9,944.033,949.467,950.633,951.9,969.5,983.1,"	-1
01-129-P OBI	1	4	correct	"12,-1,"	"946.833,947.333,947.5,952.233,952.4,954.533,955.033,956.633,957.2,971.167,975.933,976.6,"	40.5
01-129-P OBI	0	5	incorrect	"5,-1,"	"945.433,963.633,964.967,966.9,968.967,"	-1
01-129-P OBI	0	6	incorrect	"6,-1,"	"946.033,962.633,969.267,976.9,977.067,977.233,"	-1
01-129-P OBI	0	7	incorrect	"9,-1,"	"942.5,946.5,957.4,957.567,958.833,960.9,972.233,972.9,975.6,"	-1
01-129-P OBI	0	1	MasterImage	"12,-1,"	"984.8,984.967,985.167,985.9,987.133,988.867,990.067,991.5,992.967,995.167,997.133,997.333,"	-1
01-129-P OBI	0	2	incorrect	"5,-1,"	"987.6,988.067,988.667,989.333,989.833,"	-1
01-129-P OBI	0	3	incorrect	"5,-1,"	"984.367,990.633,992.233,993.7,1007.97,"	-1
01-129-P OBI	0	4	incorrect	"1,-1,"	"994.367,"	-1
01-129-P OBI	1	5	correct	"-1,-1,"	-1	28.0666
01-129-P OBI	0	6	incorrect	"7,-1,"	"996.433,998.8,1002.2,1008.4,1010.43,1011.3,1011.9,"	-1
01-129-P OBI	0	7	incorrect	"1,-1,"	"995.767,"	-1
01-129-P OBI	0	1	MasterImage	"28,-1,"	"1013.7,1013.97,1014.5,1015.7,1016.1,1017,1018.3,1018.5,1018.73,1020.13,1020.3,1023.53,1023.8,1024.03,1025.4,1026.97,1028.5,1030.07,1030.5,1032.33,1032.53,1034.87,1035.7,1037.23,1037.43,1038.7,1040.53,1040.97,"	-1
01-129-P OBI	1	2	correct	"19,-1,"	"1017.4,1017.97,1019.13,1019.6,1021.27,1021.47,1024.27,1026.1,1027.73,1029.33,1030.77,1031.47,1035.3,1039.17,1039.53,1039.77,1040.27,1041.17,1041.33,"	31.7666
01-129-P OBI	0	3	incorrect	"3,-1,"	"1014.93,1016.4,1038.97,"	-1
01-129-P OBI	0	4	incorrect	"3,-1,"	"1036.1,1036.33,1036.6,"	-1
01-129-P OBI	0	5	incorrect	"4,-1,"	"1024.43,1024.8,1025.9,1041.83,"	-1
01-129-P OBI	0	6	incorrect	"5,-1,"	"1026.5,1026.73,1033,1034.13,1034.37,"	-1
01-129-P OBI	0	7	incorrect	"2,-1,"	"1037.8,1038.3,"	-1
01-129-P OBI	0	1	MasterImage	"16,1,"	"1046.53,1046.77,1047.57,1050.63,1054.9,1055.13,1059.63,1059.87,1061.03,1063.83,1065.7,1068.13,1068.4,1071.1,1071.3,1073.17,1078.4,"	-1
01-129-P OBI	0	2	incorrect	"5,-1,"	"1048.3,1051.93,1056.73,1069.53,1074.47,"	-1
01-129-P OBI	1	3	correct	"14,-1,"	"1047.77,1051.67,1056.47,1057.5,1061.9,1063.37,1064.9,1066.37,1066.53,1066.83,1069.03,1071.9,1073.93,1075.03,"	31.8
01-129-P OBI	0	4	incorrect	"6,-1,"	"1050.03,1051.3,1055.97,1058.33,1060.33,1072.37,"	-1
01-129-P OBI	0	5	incorrect	"6,-1,"	"1045.83,1048.63,1052.23,1052.93,1057.03,1075.8,"	-1
01-129-P OBI	0	6	incorrect	"4,-1,"	"1049.17,1049.37,1052.43,1053.3,"	-1
01-129-P OBI	0	7	incorrect	"4,-1,"	"1049.63,1053.57,1054.1,1055.6,"	-1
01-129-P OBI	0	1	MasterImage	"12,-1,"	"1078.67,1079.03,1079.27,1079.57,1079.87,1080.2,1083.27,1085.4,1089.83,1092,1092.47,1094.03,"	-1
01-129-P OBI	0	2	incorrect	"2,-1,"	"1086.27,1094.37,"	-1
01-129-P OBI	0	3	incorrect	"3,1,"	"1082.53,1083.83,1090.8,1098.17,"	-1
01-129-P OBI	0	4	incorrect	"2,-1,"	"1088.47,1089.43,"	-1
01-129-P OBI	0	5	incorrect	"-1,-1,"	-1	-1
01-129-P OBI	0	6	incorrect	"4,-1,"	"1087.63,1090.53,1091.03,1092.73,"	-1
01-129-P OBI	1	7	correct	"7,-1,"	"1088.1,1089.23,1090.23,1093.1,1095.03,1095.23,1095.67,"	18.8666
01-129-P OBI	0	1	MasterImage	"9,-1,"	"1098.9,1099.87,1100.1,1100.63,1103.3,1103.47,1105.37,1106.83,1112.67,"	-1
01-129-P OBI	0	2	incorrect	"3,-1,"	"1102.9,1103.07,1104.53,"	-1
01-129-P OBI	0	3	incorrect	"6,-1,"	"1098.57,1099.47,1102.37,1103.83,1104,1118.27,"	-1
01-129-P OBI	0	4	incorrect	"2,-1,"	"1111.5,1113.37,"	-1
01-129-P OBI	1	5	correct	"6,-1,"	"1106.03,1107.43,1108.37,1110.5,1112.23,1114.03,"	22.2333
01-129-P OBI	0	6	incorrect	"2,-1,"	"1109.87,1118.57,"	-1
01-129-P OBI	0	7	incorrect	"-1,-1,"	-1	-1
01-129-P OBI	0	1	MasterImage	"27,1,"	"1122.23,1123.47,1124.4,1124.63,1125.3,1130.33,1131,1132.1,1132.6,1132.93,1134.47,1137.37,1138.1,1138.47,1139.63,1142.63,1142.8,1143.03,1145.8,1146.8,1149.17,1149.4,1150.17,1150.33,1151.8,1154.1,1154.4,1163.33,"	-1
01-129-P OBI	1	2	correct	"14,-1,"	"1128.03,1128.57,1129,1129.53,1131.33,1131.5,1133.37,1133.87,1140.13,1154.77,1154.97,1155.4,1155.67,1157.77,"	40.6667
01-129-P OBI	0	3	incorrect	"7,-1,"	"1121.83,1135.13,1135.73,1136.17,1137,1138.7,1140.77,"	-1
01-129-P OBI	0	4	incorrect	"6,-1,"	"1140.4,1143.23,1143.83,1144.5,1147.13,1147.37,"	-1
01-129-P OBI	0	5	incorrect	"6,-1,"	"1151.1,1152.43,1152.87,1153.8,1156,1158.17,"	-1
01-129-P OBI	0	6	incorrect	"3,-1,"	"1147.87,1149.93,1150.73,"	-1
01-129-P OBI	0	7	incorrect	"1,-1,"	"1141.5,"	-1
01-129-P OBI	0	1	MasterImage	"28,-1,"	"1163.53,1163.9,1164.1,1164.53,1165.3,1169.63,1169.83,1173.6,1174.07,1175.1,1176.57,1178.83,1179.63,1180.37,1182.4,1183.47,1186.27,1186.9,1188.8,1192.3,1192.73,1194.27,1194.63,1195.8,1196.2,1201.33,1205.73,1205.93,"	-1
01-129-P OBI	0	2	incorrect	"4,-1,"	"1166.97,1181.67,1182.97,1183.93,"	-1
01-129-P OBI	0	3	incorrect	"8,-1,"	"1164.87,1166.37,1172,1177.8,1179.87,1180.97,1190.9,1211.2,"	-1
01-129-P OBI	0	4	incorrect	"6,-1,"	"1168.47,1172.4,1172.77,1174.6,1175.73,1177.13,"	-1
01-129-P OBI	0	5	incorrect	"3,-1,"	"1167.43,1184.37,1187.3,"	-1
01-129-P OBI	1	6	correct	"14,-1,"	"1167.77,1170.97,1189.73,1190.33,1191.07,1191.53,1193.77,1195.1,1196.83,1200,1200.2,1202.1,1206.6,1207.2,"	48.5
01-129-P OBI	0	7	incorrect	"8,-1,"	"1168.03,1168.27,1169,1170.3,1170.63,1203.17,1207.63,1211.5,"	-1
01-129-P OBI	0	1	MasterImage	"28,-1,"	"1213.6,1213.93,1216.13,1218.4,1218.63,1220.73,1225.07,1225.23,1225.8,1227.97,1228.43,1229.77,1230.07,1231.43,1231.6,1233.27,1236.17,1238.33,1238.73,1243.13,1246.6,1246.77,1249.6,1251.6,1253.4,1259.17,1262.67,1264.87,"	-1
01-129-P OBI	0	2	incorrect	"17,-1,"	"1216.67,1230.63,1232.27,1234.73,1236.63,1236.8,1237.3,1239.2,1240.1,1243.7,1252.07,1255.87,1257.97,1258.47,1261.1,1261.57,1265.47,"	-1
01-129-P OBI	1	3	correct	"27,-1,"	"1213.03,1214.23,1215.5,1215.87,1221.03,1227.4,1229,1231.93,1232.83,1233.03,1233.9,1235.47,1246.23,1248.13,1250.47,1250.7,1252.9,1253.77,1254.37,1257.3,1259.53,1259.97,1260.57,1261.87,1262.03,1263.77,1266.47,"	56.3334
01-129-P OBI	0	4	incorrect	"7,-1,"	"1223.23,1223.7,1224.73,1226.23,1226.9,1248.83,1250.2,"	-1
01-129-P OBI	0	5	incorrect	"10,-1,"	"1215.17,1216.9,1219.6,1219.9,1220.27,1240.67,1241.27,1242.27,1244.3,1267.1,"	-1
01-129-P OBI	0	6	incorrect	"5,-1,"	"1214.67,1221.67,1244.9,1245.1,1245.9,"	-1
01-129-P OBI	0	7	incorrect	"1,-1,"	"1222.13,"	-1
01-129-P OBI	0	1	MasterImage	"15,-1,"	"1270.8,1272.17,1272.63,1278.43,1279.97,1280.2,1282.43,1285.67,1288.43,1289.1,1291.33,1291.53,1294.4,1300.33,1300.8,"	-1
01-129-P OBI	0	2	incorrect	"1,-1,"	"1276.17,"	-1
01-129-P OBI	0	3	incorrect	"10,1,"	"1270.37,1271.77,1276.83,1279.1,1280.4,1280.93,1282.97,1290.1,1297.07,1299.67,1304.03,"	-1
01-129-P OBI	0	4	incorrect	"3,-1,"	"1281.17,1281.4,1283.2,"	-1
01-129-P OBI	0	5	incorrect	"1,-1,"	"1297.47,"	-1
01-129-P OBI	0	6	incorrect	"2,-1,"	"1292.8,1296.37,"	-1
01-129-P OBI	1	7	correct	"14,-1,"	"1283.83,1284.4,1286.53,1287.07,1289.7,1290.77,1292.2,1292.57,1293.8,1293.97,1295.37,1300,1301.5,1301.7,"	33
01-129-P OBI	0	1	MasterImage	"15,-1,"	"1304.8,1305.03,1306.5,1309.77,1310.2,1312.4,1312.93,1313.9,1315.97,1316.13,1321.97,1323.17,1325.67,1326.23,1328.63,"	-1
01-129-P OBI	0	2	incorrect	"8,-1,"	"1310.5,1310.73,1311.4,1311.9,1313.2,1314.53,1316.63,1327.7,"	-1
01-129-P OBI	0	3	incorrect	"4,-1,"	"1304.4,1305.7,1309.3,1311.07,"	-1
01-129-P OBI	1	4	correct	"10,-1,"	"1305.33,1319.63,1320.6,1321.2,1322.6,1323.9,1324.4,1326.73,1329.3,1329.5,"	31.7667
01-129-P OBI	0	5	incorrect	"3,-1,"	"1314.97,1315.17,1317.23,"	-1
01-129-P OBI	0	6	incorrect	"3,-1,"	"1317.77,1334.1,1334.47,"	-1
01-129-P OBI	0	7	incorrect	"-1,-1,"	-1	-1
01-129-P OBI	0	1	MasterImage	"26,6,-1,"	"1337.57,1337.87,1338.37,1341.6,1342.13,1342.4,1343.27,1343.43,1343.7,1346.77,1347.93,1349.43,1349.9,1351.43,1352.4,1353.77,1353.97,1357.33,1358.67,1363.73,1363.9,1368.07,1371.03,1371.23,1372.57,1373.8,1383.13,1387,1387.2,1388.13,1388.3,1389.67,"	-1
01-129-P OBI	0	2	incorrect	"11,-1,-1,"	"1339.13,1339.37,1339.7,1340.2,1342.63,1344.8,1348.23,1357.77,1364.87,1367.37,1367.6,"	-1
01-129-P OBI	0	3	incorrect	"10,3,-1,"	"1345.43,1346.27,1347.37,1348.43,1350.2,1350.67,1351.93,1352.7,1366.97,1375.43,1382.93,1392,1395.6,"	-1
01-129-P OBI	0	4	incorrect	"7,-1,-1,"	"1352.9,1353.07,1353.43,1354.33,1354.6,1366.67,1380.3,"	-1
01-129-P OBI	2	5	correct	"3,-1,-1,"	"1370.27,1370.43,1373.17,"	-1
01-129-P OBI	1	6	incorrect	"13,11,-1,"	"1356.03,1356.53,1359.07,1359.27,1360.03,1360.6,1365.7,1371.67,1374.43,1375.07,1375.27,1375.73,1376,1383.77,1384.03,1385.47,1385.63,1386.27,1386.6,1387.67,1389.93,1390.67,1391.67,1395.8,"	43.8333
01-129-P OBI	0	7	incorrect	"6,-1,-1,"	"1354.97,1355.2,1355.47,1366.3,1376.2,1380.63,"	-1
01-129-P OBI	0	1	MasterImage	"16,-1,"	"1399.17,1399.77,1400.23,1400.77,1401.6,1403.53,1403.93,1406.1,1407.47,1407.63,1410.03,1412.9,1414,1414.17,1415.17,1418.07,"	-1
01-129-P OBI	1	2	correct	"9,-1,"	"1401,1401.3,1404.53,1405.1,1406.83,1408.4,1410.47,1418.6,1418.83,"	23.8667
01-129-P OBI	0	3	incorrect	"7,-1,"	"1398.77,1403.07,1408.13,1408.83,1409.23,1410.9,1411.1,"	-1
01-129-P OBI	0	4	incorrect	"4,-1,"	"1411.6,1412.17,1412.4,1413.43,"	-1
01-129-P OBI	0	5	incorrect	"3,-1,"	"1417,1417.43,1419.13,"	-1
01-129-P OBI	0	6	incorrect	"3,-1,"	"1415.4,1415.77,1416.37,"	-1
01-129-P OBI	0	7	incorrect	"1,-1,"	"1414.47,"	-1
01-129-P OBI	0	1	MasterImage	"9,-1,"	"1424.03,1426.37,1428.37,1430.3,1432.23,1434.13,1435.5,1437.23,1443.43,"	-1
01-129-P OBI	0	2	incorrect	"5,-1,"	"1423.7,1429,1429.2,1429.43,1430.7,"	-1
01-129-P OBI	0	3	incorrect	"7,1,"	"1427.5,1428.17,1431.33,1431.67,1431.97,1444.1,1444.3,1448.97,"	-1
01-129-P OBI	0	4	incorrect	"4,-1,"	"1432.9,1433.17,1433.47,1434.63,"	-1
01-129-P OBI	0	5	incorrect	"3,-1,"	"1438.23,1438.57,1440.1,"	-1
01-129-P OBI	1	6	correct	"11,-1,"	"1435.8,1436.53,1436.93,1437.83,1439.07,1439.47,1439.63,1441,1441.4,1442.9,1444.6,"	25.1666
01-129-P OBI	0	7	incorrect	"5,-1,"	"1434.87,1435.1,1435.3,1444.87,1446.43,"	-1
01-129-P OBI	0	1	MasterImage	"12,-1,"	"1449.97,1452.53,1452.9,1454.1,1455.2,1456.8,1458.23,1459.5,1461.3,1463.87,1464.1,1467.43,"	-1
01-129-P OBI	0	2	incorrect	"1,-1,"	"1451.03,"	-1
01-129-P OBI	0	3	incorrect	"6,-1,"	"1449.33,1453.2,1453.63,1454.7,1455.47,1465.2,"	-1
01-129-P OBI	0	4	incorrect	"6,-1,"	"1455.7,1455.87,1456.33,1457.53,1458.43,1469.97,"	-1
01-129-P OBI	0	5	incorrect	"4,-1,"	"1464.37,1464.57,1465.4,1468.13,"	-1
01-129-P OBI	0	6	incorrect	"2,-1,"	"1463.13,1463.3,"	-1
01-129-P OBI	1	7	correct	"7,-1,"	"1458.7,1460.57,1461.97,1462.47,1462.77,1469.23,1470.37,"	23.5667
01-129-P OBI	0	1	MasterImage	"27,-1,"	"1474.63,1475.73,1477.27,1479.6,1479.83,1481.8,1484.2,1486.27,1487.53,1487.8,1492.43,1498.7,1499.1,1500.5,1506.1,1507.8,1509.4,1511.23,1511.7,1514.67,1517.47,1517.67,1519.87,1520.43,1525.4,1533.03,1533.27,"	-1
01-129-P OBI	0	2	incorrect	"8,-1,"	"1475.23,1478.13,1481.23,1482.4,1482.7,1493.63,1499.77,1501.13,"	-1
01-129-P OBI	0	3	incorrect	"4,-1,"	"1474.03,1475.43,1476.67,1477.83,"	-1
