Subject	SelectionOrderAtt	ImId	correctVariant(s)	FixationFrequencyPerChoiceInterval	FixationStart	TimeToFirstSelectionAtt
01-005-P2 OBI	0	1	MasterImage	"13,-1,"	"1168.37,1170.63,1170.83,1171.53,1172.73,1173.17,1174.17,1174.93,1177.63,1179.43,1182.1,1184.47,1184.63,"	-1
01-005-P2 OBI	1	2	correct	"8,-1,"	"1171.87,1172.33,1173.5,1175.13,1178.63,1180.17,1181.77,1186.27,"	21.5
01-005-P2 OBI	0	3	incorrect	"3,1,"	"1170.13,1171.03,1178.1,1189.6,"	-1
01-005-P2 OBI	0	4	incorrect	"4,-1,"	"1182.8,1183.63,1184,1185.4,"	-1
01-005-P2 OBI	0	5	incorrect	"4,-1,"	"1175.93,1176.17,1187.43,1187.6,"	-1
01-005-P2 OBI	0	6	incorrect	"6,-1,"	"1167.6,1168,1176.6,1177.27,1180.5,1180.83,"	-1
01-005-P2 OBI	0	7	incorrect	"1,-1,"	"1177.07,"	-1
01-005-P2 OBI	0	1	MasterImage	"8,-1,"	"1190.53,1191.63,1192.13,1192.77,1193.83,1195.77,1196.23,1202.33,"	-1
01-005-P2 OBI	0	2	incorrect	"2,-1,"	"1197.3,1198.63,"	-1
01-005-P2 OBI	0	3	incorrect	"3,-1,"	"1190.13,1191.27,1192.33,"	-1
01-005-P2 OBI	0	4	incorrect	"5,-1,"	"1193.13,1193.47,1194.93,1196.8,1196.97,"	-1
01-005-P2 OBI	0	5	incorrect	"3,-1,"	"1197.83,1198.23,1200.4,"	-1
01-005-P2 OBI	1	6	correct	"7,-1,"	"1199.4,1199.73,1201.03,1201.23,1201.5,1202.87,1203.23,"	15.5333
01-005-P2 OBI	0	7	incorrect	"3,-1,"	"1201.7,1201.97,1203.6,"	-1
01-005-P2 OBI	0	1	MasterImage	"6,3,5,-1,-1,"	"1207.13,1207.37,1208.47,1213.1,1213.7,1215.4,1222,1224.1,1225.57,1230.93,1231.23,1232.97,1237.57,1237.73,"	-1
01-005-P2 OBI	2	2	incorrect	"4,4,4,-1,-1,"	"1211.2,1214.7,1216.27,1216.43,1220.77,1223.33,1225,1225.33,1232.3,1233.4,1234.07,1238.27,"	-1
01-005-P2 OBI	3	3	incorrect	"1,1,6,-1,-1,"	"1207.8,1221.1,1229.47,1234.57,1234.8,1240.17,1242.3,1243.23,"	-1
01-005-P2 OBI	0	4	incorrect	"2,-1,4,-1,-1,"	"1209.17,1209.33,1230,1235.17,1235.33,1240.63,"	-1
01-005-P2 OBI	1	5	incorrect	"4,4,2,-1,-1,"	"1210.87,1212.4,1213.93,1216.73,1222.63,1223.03,1224.57,1226.1,1231.9,1243.43,"	13.5334
01-005-P2 OBI	0	6	incorrect	"4,2,3,-1,-1,"	"1206.97,1210.43,1218.1,1218.33,1221.5,1222.43,1229.1,1236.47,1239.77,"	-1
01-005-P2 OBI	4	7	correct	"2,-1,3,3,-1,"	"1206.63,1209.7,1235.63,1237.23,1241.3,1245.47,1245.67,1246.07,"	-1
01-005-P2 OBI	0	1	MasterImage	"6,-1,"	"1249.97,1250.87,1252.33,1253.47,1254.9,1257.23,"	-1
01-005-P2 OBI	0	2	incorrect	"3,-1,"	"1250.4,1251.5,1252.97,"	-1
01-005-P2 OBI	0	3	incorrect	"1,-1,"	"1254.07,"	-1
01-005-P2 OBI	1	4	correct	"2,-1,"	"1255.63,1258.33,"	12.7
01-005-P2 OBI	0	5	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	0	6	incorrect	"3,-1,"	"1259,1259.3,1260.93,"	-1
01-005-P2 OBI	0	7	incorrect	"1,-1,"	"1248.57,"	-1
01-005-P2 OBI	0	1	MasterImage	"6,-1,"	"1262.9,1265.3,1268.5,1268.67,1272.03,1275.07,"	-1
01-005-P2 OBI	1	2	correct	"7,-1,"	"1265.97,1269.83,1271.17,1273.1,1274.3,1275.77,1275.93,"	15.8333
01-005-P2 OBI	0	3	incorrect	"1,-1,"	"1264.23,"	-1
01-005-P2 OBI	0	4	incorrect	"-1,-1,"	-1	-1
01-005-P2 OBI	0	5	incorrect	"5,1,"	"1266.37,1269.27,1270.57,1273.33,1276.23,1278.87,"	-1
01-005-P2 OBI	0	6	incorrect	"2,-1,"	"1266.7,1268,"	-1
01-005-P2 OBI	0	7	incorrect	"1,-1,"	"1267.17,"	-1
01-005-P2 OBI	0	1	MasterImage	"-1,8,3,-1,"	"1282.97,1284.8,1285.27,1286.27,1287.47,1288.5,1289.73,1290.17,1294.67,1294.87,1296.9,"	-1
01-005-P2 OBI	1	2	incorrect	"-1,4,-1,-1,"	"1282.37,1282.57,1284.4,1286.7,"	2
01-005-P2 OBI	2	3	incorrect	"-1,5,-1,-1,"	"1285.47,1287.93,1289.2,1290.9,1291.4,"	-1
01-005-P2 OBI	0	4	incorrect	"-1,-1,-1,-1,"	-1	-1
