SelectionOrderAtt	ImId	correctVariant(s)	Slide_Num	Subject	FixationFrequencyPerChoiceInterval	FixationStart	TimeToFirstSelectionAtt
1	3	correct	12	01-005-P2 OBI	"10,-1,"	"1091.67,1091.93,1093.63,1095.47,1096.57,1098.8,1100.3,1103.07,1104.3,1107.43,"	22.4667
0	4	incorrect	12	01-005-P2 OBI	"2,-1,"	"1104.63,1104.8,"	-1
0	5	incorrect	12	01-005-P2 OBI	"2,-1,"	"1101.37,1108.27,"	-1
0	6	incorrect	12	01-005-P2 OBI	"2,-1,"	"1101.9,1102.07,"	-1
0	7	incorrect	12	01-005-P2 OBI	"4,-1,"	"1105.2,1106.1,1106.3,1107.1,"	-1
0	1	MasterImage	13	01-005-P2 OBI	"7,-1,"	"1112.67,1114.7,1116.6,1119.63,1119.87,1122.27,1122.43,"	-1
0	2	incorrect	13	01-005-P2 OBI	"1,-1,"	"1116,"	-1
0	3	incorrect	13	01-005-P2 OBI	"2,-1,"	"1114.27,1115.5,"	-1
0	4	incorrect	13	01-005-P2 OBI	"-1,-1,"	-1	-1
0	5	incorrect	13	01-005-P2 OBI	"3,-1,"	"1112.1,1117.43,1117.6,"	-1
0	6	incorrect	13	01-005-P2 OBI	"2,-1,"	"1118.2,1120.33,"	-1
1	7	correct	13	01-005-P2 OBI	"3,-1,"	"1120.8,1123,1123.8,"	13.3
0	1	MasterImage	14	01-005-P2 OBI	"6,-1,"	"1126.87,1127.07,1128.03,1129.57,1131.67,1133.37,"	-1
0	2	incorrect	14	01-005-P2 OBI	"1,-1,"	"1135.27,"	-1
0	3	incorrect	14	01-005-P2 OBI	"2,-1,"	"1127.57,1128.47,"	-1
1	4	correct	14	01-005-P2 OBI	"6,-1,"	"1128.73,1130.23,1130.4,1130.9,1132.4,1136.1,"	13.2667
0	5	incorrect	14	01-005-P2 OBI	"-1,-1,"	-1	-1
0	6	incorrect	14	01-005-P2 OBI	"1,-1,"	"1137.5,"	-1
0	7	incorrect	14	01-005-P2 OBI	"1,-1,"	"1126.4,"	-1
0	1	MasterImage	15	01-005-P2 OBI	"11,-1,-1,-1,-1,"	"1141.1,1141.27,1142.43,1144.83,1147.1,1147.4,1149.07,1149.33,1151.23,1153,1154.47,"	-1
2	2	incorrect	15	01-005-P2 OBI	"8,1,-1,-1,-1,"	"1148.07,1148.3,1148.73,1149.83,1150.1,1151.93,1153.67,1154.17,1158.23,"	-1
3	3	incorrect	15	01-005-P2 OBI	"2,-1,-1,-1,-1,"	"1141.7,1142,"	-1
0	4	incorrect	15	01-005-P2 OBI	"1,-1,-1,-1,-1,"	"1142.97,"	-1
4	5	correct	15	01-005-P2 OBI	"4,1,1,3,-1,"	"1146.5,1150.33,1152.43,1153.83,1158.6,1160.87,1163.6,1163.93,1164.13,"	-1
0	6	incorrect	15	01-005-P2 OBI	"3,-1,-1,1,-1,"	"1140.67,1143.83,1145.27,1164.6,"	-1
1	7	incorrect	15	01-005-P2 OBI	"6,-1,-1,-1,-1,"	"1143.5,1144.43,1145.6,1155.03,1155.83,1156.03,"	16.8666
0	1	MasterImage	16	01-005-P2 OBI	"13,-1,"	"1168.37,1170.63,1170.83,1171.53,1172.73,1173.17,1174.17,1174.93,1177.63,1179.43,1182.1,1184.47,1184.63,"	-1
1	2	correct	16	01-005-P2 OBI	"8,-1,"	"1171.87,1172.33,1173.5,1175.13,1178.63,1180.17,1181.77,1186.27,"	21.5
0	3	incorrect	16	01-005-P2 OBI	"3,1,"	"1170.13,1171.03,1178.1,1189.6,"	-1
0	4	incorrect	16	01-005-P2 OBI	"4,-1,"	"1182.8,1183.63,1184,1185.4,"	-1
0	5	incorrect	16	01-005-P2 OBI	"4,-1,"	"1175.93,1176.17,1187.43,1187.6,"	-1
0	6	incorrect	16	01-005-P2 OBI	"6,-1,"	"1167.6,1168,1176.6,1177.27,1180.5,1180.83,"	-1
0	7	incorrect	16	01-005-P2 OBI	"1,-1,"	"1177.07,"	-1
0	1	MasterImage	17	01-005-P2 OBI	"8,-1,"	"1190.53,1191.63,1192.13,1192.77,1193.83,1195.77,1196.23,1202.33,"	-1
0	2	incorrect	17	01-005-P2 OBI	"2,-1,"	"1197.3,1198.63,"	-1
